Identifiant station;Nom station;Station en fonctionnement;Capacitï¿½ï¿½ de la sta;Nombre bornettes libres;Nombre total vï¿½ï¿½los disponi;Vï¿½ï¿½los mï¿½ï¿½caniques dis;Vï¿½ï¿½los ï¿½ï¿½lectriques dis;Borne de paiement disponible;Retour vï¿½ï¿½lib poss;Actualisation de la donnï¿½;Coordonnï¿½ï¿½es gï¿½ï¿½ogr;Nom communes ï¿½ï¿½quip;Code INSEE communes ï¿½ï¿½quip
41302;Charles de Gaulle - Beautï¿;OUI;49;42;5;3;2;OUI;OUI;2021-10-20T13:40:22+02:00;48.8364960231,2.47956265115;Nogent-sur-Marne;
21212;Marne - Germain Dardan;OUI;22;20;2;1;1;OUI;OUI;2021-10-20T13:43:42+02:00;48.811542704,2.30307072401;Montrouge;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;15;3;1;2;OUI;OUI;2021-10-20T13:45:07+02:00;48.8447992886,2.32933775589;Paris;
42706;Roger Salengro - Fontainebleau;OUI;25;18;6;2;4;OUI;OUI;2021-10-20T13:45:12+02:00;48.8145486973,2.36116636544;Le Kremlin-Bicï¿½ï¿;
12128;Pyramide - Ecole du Breuil;OUI;34;7;23;18;5;OUI;OUI;2021-10-20T13:46:28+02:00;48.8223797715,2.45868712664;Paris;
33017;Anatole France - President Roosevelt;OUI;29;15;12;7;5;OUI;OUI;2021-10-20T13:46:17+02:00;48.9155156,2.3814103;Aubervilliers;
31022;Mairie de Montreuil;OUI;52;45;3;2;1;OUI;OUI;2021-10-20T13:43:18+02:00;48.8613145276,2.44061440229;Montreuil;
20112;Jourdain - Place des Grandes Rigoles;OUI;22;22;0;0;0;OUI;OUI;2021-10-20T13:44:36+02:00;48.8740311373,2.38959476352;Paris;
19101;Square Simon Bolivar;OUI;24;22;2;1;1;OUI;OUI;2021-10-20T13:44:13+02:00;48.8750898883,2.38263040781;Paris;
19044;Grands Moulins de Pantin;OUI;50;34;15;11;4;OUI;OUI;2021-10-20T13:44:56+02:00;48.8973836972,2.39599853754;Paris;
14003;Schoelcher - Raspail;OUI;50;46;1;1;0;OUI;OUI;2021-10-20T13:39:47+02:00;48.8368173353,2.33127940804;Paris;
33102;Gabriel Pï¿½ï¿½ri - Francisco Fe;OUI;18;15;1;1;0;OUI;OUI;2021-10-20T13:45:44+02:00;48.8863371024,2.40733891726;Le Prï¿½ï¿½-Saint-Ger;
15042;Henry Farman;OUI;16;6;9;9;0;OUI;OUI;2021-10-20T13:43:41+02:00;48.8337243028,2.27138545364;Paris;
21312;Lucie Aubrac - Fort;OUI;30;27;2;0;2;OUI;OUI;2021-10-20T13:46:14+02:00;48.818144834,2.27118462324;Issy-les-Moulineaux;
43008;Fontenay - Libï¿½ï¿½ra;OUI;25;15;10;7;3;OUI;OUI;2021-10-20T13:44:02+02:00;48.8478030636,2.44514197111;Vincennes;
13001;Port-Royal - Hï¿½ï¿½pital du Val-de-Gr;OUI;18;6;11;8;3;OUI;OUI;2021-10-20T13:46:40+02:00;48.8376682728,2.34481383466;Paris;
8045;Place de la Reine Astrid;OUI;58;23;33;30;3;OUI;OUI;2021-10-20T13:45:48+02:00;48.8649209825,2.30254918239;Paris;
44006;Concorde - Stalingrad;OUI;35;24;9;5;4;OUI;OUI;2021-10-20T13:44:57+02:00;48.7985844,2.3821302;Vitry-sur-Seine;
18011;Pajol - Place Herbert;OUI;39;35;2;0;2;OUI;OUI;2021-10-20T13:46:33+02:00;48.8927825,2.3635598;Paris;
19120;Carducci - Place Hannah Arendt;OUI;27;27;0;0;0;OUI;OUI;2021-10-20T13:44:12+02:00;48.8774366815,2.38607436419;Paris;
15104;Hï¿½ï¿½pital Europï¿½ï¿½en Georges ;OUI;64;11;44;40;4;OUI;OUI;2021-10-20T13:46:23+02:00;48.8376953192,2.27537423372;Paris;
14138;Porte de Vanves;OUI;32;28;4;2;2;OUI;OUI;2021-10-20T13:44:47+02:00;48.8280128494,2.30568788946;Paris;
22202;Jean Marin Naudin - Stalingrad;OUI;30;29;1;1;0;OUI;OUI;2021-10-20T13:46:24+02:00;48.8057138974,2.32020232826;Bagneux;
46003;Conservatoire de Musique;OUI;25;2;21;21;0;OUI;OUI;2021-10-20T13:45:31+02:00;48.7709358667,2.40340143442;Choisy-le-Roi;
5004;Saint-Jacques - Val de Grï¿½ï;OUI;20;14;5;2;3;OUI;OUI;2021-10-20T13:46:24+02:00;48.8417514,2.3413893;Paris;
18028;Championnet - Vauvenargues;OUI;33;31;2;1;1;OUI;OUI;2021-10-20T13:41:35+02:00;48.8940187474,2.33198728412;Paris;
19103;Manin - Carriï¿½ï¿½res d'Amï¿½;OUI;20;18;2;1;1;OUI;OUI;2021-10-20T13:45:58+02:00;48.8846721421,2.3919698596;Paris;
20037;Gambetta - Saint Fargeau;OUI;24;23;1;0;1;OUI;OUI;2021-10-20T13:44:50+02:00;48.8712446104,2.40390568972;Paris;
21306;Place Lafayette;OUI;62;7;55;42;13;OUI;OUI;2021-10-20T13:45:41+02:00;48.8296549755,2.26386755705;Issy-les-Moulineaux;
15054;Lecourbe - Jean Maridor;OUI;19;6;13;7;6;OUI;OUI;2021-10-20T13:41:17+02:00;48.8379636615,2.28773921728;Paris;
12114;Victor Hugo - Jeanne Jugan;OUI;28;19;9;6;3;OUI;OUI;2021-10-20T13:40:15+02:00;48.843949064,2.41508139483;Paris;
15106;Grenelle - Violet;OUI;35;9;23;21;2;OUI;OUI;2021-10-20T13:46:08+02:00;48.8499303551,2.29461204261;Paris;
41209;Cimetiï¿½ï¿½re de Fontenay-sous-;OUI;15;14;0;0;0;OUI;OUI;2021-10-20T13:45:22+02:00;48.8470617336,2.47878223658;Fontenay-sous-Bois;
14008;Mouton Duvernet - Gï¿½ï¿½nï¿½ï¿½ral;OUI;39;37;2;0;2;OUI;OUI;2021-10-20T13:44:38+02:00;48.8316325183,2.32931211591;Paris;
10024;Buisson Saint-Louis - Saint-Maur;OUI;19;15;3;2;1;OUI;OUI;2021-10-20T13:38:17+02:00;48.8717468493,2.37225283288;Paris;
22406;Guy Mï¿½ï¿½quet - Etienne D;OUI;23;21;2;0;2;OUI;OUI;2021-10-20T13:45:22+02:00;48.8152700999,2.298078277;Malakoff;
15105;Fï¿½ï¿½dï¿½ï¿½ration -;OUI;25;16;8;7;1;OUI;OUI;2021-10-20T13:45:04+02:00;48.8528281534,2.29787763208;Paris;
2111;Chabanais - Petits Champs;OUI;30;13;16;11;5;OUI;OUI;2021-10-20T13:44:35+02:00;48.8670374019,2.33671601862;Paris;
18031;Place Albert Kahn;OUI;46;38;6;2;4;OUI;OUI;2021-10-20T13:45:26+02:00;48.8957969798,2.34558558413;Paris;
8054;Bertie Albrecht - Hoche;OUI;32;23;8;8;0;OUI;OUI;2021-10-20T13:46:25+02:00;48.8761403983,2.30130313831;Paris;
42014;Place Marcel Cachin;OUI;32;9;20;18;2;OUI;OUI;2021-10-20T13:42:12+02:00;48.8141144236,2.39090770483;Ivry-sur-Seine;
15109;Cevennes - Bergers;OUI;29;14;12;12;0;OUI;OUI;2021-10-20T13:43:10+02:00;48.8424076513,2.28103771806;Paris;
5018;Mutualitï¿;OUI;37;1;34;29;5;OUI;OUI;2021-10-20T13:46:08+02:00;48.8482255727,2.35028732568;Paris;
21209;Moliï¿½ï¿½re - Rï¿½ï¿½;OUI;30;26;3;1;2;OUI;OUI;2021-10-20T13:46:21+02:00;48.8111158139,2.31457386244;Montrouge;
8017;Rocher - Laborde;OUI;65;52;13;13;0;OUI;OUI;2021-10-20T13:46:41+02:00;48.8759024071,2.32261631638;Paris;
21005;Hï¿½ï¿½tel de Ville de Boulogne Billanc;OUI;26;11;14;12;2;OUI;OUI;2021-10-20T13:45:26+02:00;48.8349588517,2.24168032408;Boulogne-Billancourt;
5124;Erasme - Ulm;OUI;24;13;10;4;6;OUI;OUI;2021-10-20T13:45:19+02:00;48.8426437527,2.34459467232;Paris;
35010;Hoche - Jean Lolive;OUI;24;20;1;0;1;OUI;OUI;2021-10-20T13:45:53+02:00;48.891102392,2.40284353495;Pantin;
14106;Marc Sangnier - Porte de Vanves;OUI;21;18;2;1;1;OUI;OUI;2021-10-20T13:37:22+02:00;48.8252186836,2.31071166694;Paris;
15110;Place Robert Guillemard;OUI;24;2;22;21;1;OUI;OUI;2021-10-20T13:46:15+02:00;48.8361917281,2.28112671601;Paris;
18046;Etienne Jodelle - Saint Ouen;OUI;33;32;0;0;0;OUI;OUI;2021-10-20T13:43:16+02:00;48.8879401639,2.32612442031;Paris;
18022;Marcadet - Barbï¿½;OUI;37;29;7;5;2;OUI;OUI;2021-10-20T13:43:00+02:00;48.890451121,2.34905739297;Paris;
35002;Jean Jaurï¿½ï¿½s - Pre;OUI;30;20;9;6;3;OUI;OUI;2021-10-20T13:41:53+02:00;48.907134415,2.39600572805;Pantin;
44003;Gabriel Pï¿½ï¿½ri - Danielle Casa;OUI;20;7;10;9;1;OUI;OUI;2021-10-20T13:43:22+02:00;48.790114,2.4025777;Vitry-sur-Seine;
31102;Boissiï¿½ï¿½re - Etienne D;OUI;21;20;0;0;0;OUI;OUI;2021-10-20T13:40:46+02:00;48.876111,2.4677312;Montreuil;
15034;Lakanal - Commerce;OUI;53;14;33;32;1;OUI;OUI;2021-10-20T13:45:48+02:00;48.8444246279,2.29405917227;Paris;
44013;Edouard Tremblay - Julian Grimau;OUI;30;30;0;0;0;OUI;OUI;2021-10-20T13:44:54+02:00;48.7813838251,2.37235084176;Vitry-sur-Seine;
22203;Tertres - Fontaine;OUI;28;27;1;0;1;OUI;OUI;2021-10-20T13:41:42+02:00;48.7875536547,2.30623573065;Bagneux;
14124;David Weill - Parc Montsouris;OUI;22;20;2;0;2;OUI;OUI;2021-10-20T13:42:20+02:00;48.8210923743,2.33372569084;Paris;
21112;Claude Debussy - Marc Bloch;OUI;28;28;0;0;0;NON;NON;2021-10-13T22:08:33+02:00;48.9103881805,2.31177717447;Clichy;
15133;Saint Lambert - Blomet;OUI;27;17;8;5;3;OUI;OUI;2021-10-20T13:45:47+02:00;48.8365914815,2.29305569082;Paris;
25003;Henri Ste-Claire Dï¿½ï¿½ville - Paul Hï¿½;OUI;24;9;14;11;3;OUI;OUI;2021-10-20T13:45:42+02:00;48.892663,2.172411;Rueil-Malmaison;
21006;Marcelin Berthelot;OUI;27;4;21;19;2;OUI;OUI;2021-10-20T13:46:11+02:00;48.8415473059,2.23316162825;Boulogne-Billancourt;
20115;Louis Lumiï¿½ï¿½re - Porte de Bagn;OUI;20;18;0;0;0;OUI;OUI;2021-10-20T13:42:22+02:00;48.86431136,2.41052102298;Paris;
10042;Enghien - Faubourg Poissonniï¿½ï;OUI;16;16;0;0;0;NON;NON;2021-02-21T21:15:22+01:00;48.8724200631,2.34839523628;Paris;
22402;Jean Jaurï¿½ï¿½s - Salvador All;OUI;43;30;10;3;7;OUI;OUI;2021-10-20T13:41:24+02:00;48.8214755947,2.30265766382;Malakoff;
20131;Repos - Cimetiï¿½ï¿½re du Pï¿½ï¿½re ;OUI;33;32;1;1;0;OUI;OUI;2021-10-20T13:44:01+02:00;48.8593585236,2.38961313668;Paris;
21008;Victor Hugo - Galliï¿½ï;OUI;34;8;24;21;3;OUI;OUI;2021-10-20T13:44:40+02:00;48.8380201544,2.24608451128;Boulogne-Billancourt;
14012;Sibelle - Alï¿½ï¿;OUI;25;24;1;0;1;OUI;OUI;2021-10-20T13:41:22+02:00;48.8267017585,2.33849834651;Paris;
11039;Richard Lenoir - Jean-Pierre Timbaud;OUI;36;29;5;3;2;OUI;OUI;2021-10-20T13:45:42+02:00;48.8658042767,2.36933707497;Paris;
31008;Franï¿½ï¿½ois Debergue - Croix de Cha;OUI;57;51;6;2;4;OUI;OUI;2021-10-20T13:45:45+02:00;48.8574217081,2.43757814169;Montreuil;
17013;Legendre - Dulong;OUI;23;20;0;0;0;OUI;OUI;2021-10-20T13:46:37+02:00;48.8853251694,2.31642376631;Paris;
21015;Nationale - Place Jules Guesde;OUI;23;16;5;2;3;OUI;OUI;2021-10-20T13:40:45+02:00;48.8275396246,2.24160522223;Boulogne-Billancourt;
16008;Galilï¿½ï¿½e - Klï;OUI;33;25;5;3;2;OUI;OUI;2021-10-20T13:46:11+02:00;48.8674118657,2.29078138011;Paris;
41404;Carnot - Pï¿½ï¿½quere;OUI;26;16;10;8;2;OUI;OUI;2021-10-20T13:45:11+02:00;48.7959293943,2.42618411779;Alfortville;
5106;Cujas - Saint-Michel;OUI;19;5;13;7;6;OUI;OUI;2021-10-20T13:44:36+02:00;48.8481913486,2.34183165485;Paris;
48010;Karl Marx.;OUI;16;12;3;3;0;OUI;OUI;2021-10-20T13:36:47+02:00;48.7845279373,2.36466679795;Villejuif;
11026;Chemin Vert - Saint-Maur;OUI;45;43;2;1;1;OUI;OUI;2021-10-20T13:44:06+02:00;48.8611246141,2.38129902631;Paris;
41202;Gare Rer de Fontenay sous Bois;OUI;61;53;6;5;1;OUI;OUI;2021-10-20T13:43:44+02:00;48.8436279,2.4630465;Fontenay-sous-Bois;
13050;Quai Panhard et Levassor;OUI;57;4;52;50;2;OUI;OUI;2021-10-20T13:45:32+02:00;48.8283748281,2.38427374581;Paris;
42021;Raspail - Manufacture des Oeillets;OUI;32;13;18;14;4;OUI;OUI;2021-10-20T13:37:18+02:00;48.8094458,2.3903009;Ivry-sur-Seine;
32604;Square du Thï¿½ï¿½ï¿½ï¿½tre du Gard;OUI;50;47;1;0;1;OUI;OUI;2021-10-20T13:44:06+02:00;48.8812873751,2.42011964321;Les Lilas;
11030;Oberkampf - Rï¿½ï¿½publ;OUI;24;22;2;2;0;OUI;OUI;2021-10-20T13:45:08+02:00;48.8654533,2.3760261;Paris;
9010;Rochechouart lamartine;OUI;24;15;5;4;1;OUI;OUI;2021-10-20T13:45:02+02:00;48.8767198951,2.34439302185;Paris;
31708;Noisy le Sec - Jean-Baptiste Clï¿½ï¿½;OUI;22;20;1;0;1;OUI;OUI;2021-10-20T13:40:16+02:00;48.8745153896,2.41528362036;Bagnolet;
11105;Parmentier - Rï¿½ï¿½publ;OUI;50;41;5;1;4;OUI;OUI;2021-10-20T13:45:26+02:00;48.8644954,2.3750124;Paris;
35020;Marcelle - Thalie;OUI;20;19;1;0;1;OUI;OUI;2021-10-20T13:37:19+02:00;48.8835462,2.4137883;Pantin;
20134;Lieutenant Chaurï¿½ï¿½ - Etienne M;OUI;20;18;1;1;0;OUI;OUI;2021-10-20T13:45:08+02:00;48.8674619541,2.40597099066;Paris;
31003;Paris - Emile Zola;OUI;30;22;6;6;0;OUI;OUI;2021-10-20T13:45:12+02:00;48.8548980958,2.41866856813;Montreuil;
15103;Cauchy - Cï¿½ï¿½ve;OUI;51;7;42;40;2;OUI;OUI;2021-10-20T13:43:59+02:00;48.843372571,2.27513283491;Paris;
9116;Victoire - Chaussï¿½ï¿½e d'A;OUI;24;11;13;11;2;OUI;OUI;2021-10-20T13:45:40+02:00;48.875065791,2.33167380095;Paris;
18009;Jean-Franï¿½ï¿½ois Lï¿½ï¿½pine - St;OUI;22;17;5;1;4;OUI;OUI;2021-10-20T13:40:17+02:00;48.886114668,2.35685562753;Paris;
1119;Cossonnerie - Sï¿½ï¿½bast;OUI;24;9;12;10;2;OUI;OUI;2021-10-20T13:46:24+02:00;48.8613266591,2.34941963106;Paris;
22003;Beffroy;OUI;26;2;23;20;3;OUI;OUI;2021-10-20T13:46:40+02:00;48.8865910745,2.26139456034;Neuilly-sur-Seine;
17031;Place de la Porte de Champerret;OUI;28;27;1;1;0;OUI;OUI;2021-10-20T13:43:50+02:00;48.8856174163,2.29078141128;Paris;
16038;Molitor - Chardon-Lagache;OUI;34;15;18;15;3;OUI;OUI;2021-10-20T13:39:21+02:00;48.8452088018,2.2656840831;Paris;
19024;Botzaris - Parc des Buttes Chaumont;OUI;20;18;1;1;0;OUI;OUI;2021-10-20T13:40:37+02:00;48.877951,2.381464;Paris;
17125;Marie-Georges Picquart - Pereire;OUI;32;24;7;5;2;OUI;OUI;2021-10-20T13:43:11+02:00;48.8886366935,2.31117065996;Paris;
8057;Hoche - Tilsitt;OUI;33;27;6;4;2;OUI;OUI;2021-10-20T13:45:22+02:00;48.8748364578,2.29713231325;Paris;
19032;Villette - Belleville;OUI;48;39;5;3;2;OUI;OUI;2021-10-20T13:46:37+02:00;48.8726877314,2.37646132708;Paris;
15021;Joseph Liouville - Croix Nivert;OUI;64;31;29;27;2;OUI;OUI;2021-10-20T13:45:51+02:00;48.8448354712,2.29750849307;Paris;
16136;Thï¿½ï¿½ophile Gautier - Franï¿½ï¿½oi;OUI;30;18;6;3;3;OUI;OUI;2021-10-20T13:46:33+02:00;48.8503482132,2.27302998304;Paris;
17105;Place Madeleine Daniï¿½ï¿;OUI;42;31;10;7;3;OUI;OUI;2021-10-20T13:42:23+02:00;48.883498,2.282015;Paris;
11024;Mairie du 11ï¿½ï;OUI;51;46;0;0;0;OUI;OUI;2021-10-20T13:46:06+02:00;48.858925,2.3789759;Paris;
5012;Estrapade - Ulm;OUI;16;3;12;6;6;OUI;OUI;2021-10-20T13:43:35+02:00;48.8451277283,2.34545681704;Paris;
24001;Arche - Lï¿½ï¿½onard de V;OUI;28;12;13;8;5;OUI;OUI;2021-10-20T13:45:46+02:00;48.8979097249,2.23837230436;Courbevoie;
21701;Larmeroux - Baudelaire;OUI;30;27;3;2;1;OUI;OUI;2021-10-20T13:43:05+02:00;48.8169399113,2.28098948048;Vanves;
14136;Auguste Cain - Jean Moulin;OUI;40;39;1;1;0;OUI;OUI;2021-10-20T13:45:08+02:00;48.8257702893,2.32104152441;Paris;
41601;Gï¿½ï¿½nï¿½ï¿½ral De Gaulle - ;OUI;26;20;5;2;3;OUI;OUI;2021-10-20T13:44:56+02:00;48.839109,2.4175664;Saint-Mandï¿;
8025;Miromesnil - La Boï¿½ï¿;OUI;35;3;30;23;7;OUI;OUI;2021-10-20T13:45:39+02:00;48.8737224129,2.31584809721;Paris;
14110;Abbï¿½ï¿½ Carton - Pla;OUI;25;22;3;1;2;OUI;OUI;2021-10-20T13:38:14+02:00;48.8276738232,2.3209181428;Paris;
32302;Chemin Vert - Fraternitï¿;OUI;20;16;3;0;3;OUI;OUI;2021-10-20T13:46:02+02:00;48.8771412084,2.44615651667;Romainville;
16108;Sablons - Georges Mandel;OUI;38;36;1;1;0;OUI;OUI;2021-10-20T13:42:30+02:00;48.863875,2.28189;Paris;
9032;Mathurins - Auber;OUI;36;6;29;23;6;OUI;OUI;2021-10-20T13:42:37+02:00;48.8729888407,2.32949842123;Paris;
43005;Gare RER de Vincennes;OUI;51;40;11;10;1;OUI;OUI;2021-10-20T13:46:11+02:00;48.8475630151,2.43338316679;Vincennes;
5123;Saint-Germain - Thenard;OUI;31;14;16;15;1;OUI;OUI;2021-10-20T13:45:34+02:00;48.850571,2.3471015;Paris;
19022;Marchï¿½ï¿½ Secrï;OUI;26;24;1;1;0;OUI;OUI;2021-10-20T13:46:37+02:00;48.8812549638,2.37346328795;Paris;
15046;Parc Georges Brassens - Brancion;OUI;29;24;5;4;1;OUI;OUI;2021-10-20T13:45:00+02:00;48.8322782927,2.30225700885;Paris;
22016;Charles de Gaulle - Sablonville;OUI;26;23;2;0;2;OUI;OUI;2021-10-20T13:41:26+02:00;48.8799192486,2.27637704462;Neuilly-sur-Seine;
16040;Exelmans - Michel-Ange;OUI;33;25;4;2;2;OUI;OUI;2021-10-20T13:45:26+02:00;48.8430948665,2.25977708007;Paris;
10014;Marseille - Beaurepaire;OUI;55;43;6;5;1;OUI;OUI;2021-10-20T13:45:31+02:00;48.871624307,2.36392650827;Paris;
17028;Reims - Raymond Pitet;OUI;37;30;6;3;3;OUI;OUI;2021-10-20T13:44:01+02:00;48.8888,2.296319;Paris;
13002;Arago - Glaciï¿½ï;OUI;27;21;4;4;0;OUI;OUI;2021-10-20T13:46:28+02:00;48.8348605478,2.34457705243;Paris;
21301;Saint-Vincent - Verdun;OUI;34;14;17;17;0;OUI;OUI;2021-10-20T13:46:33+02:00;48.8192115492,2.25400775671;Issy-les-Moulineaux;
11035;Parmentier - Abel Rabaud;OUI;52;47;1;0;1;OUI;OUI;2021-10-20T13:39:06+02:00;48.8692127384,2.37168882124;Paris;
42302;Aristide Briand - Gare de Bagneux;OUI;22;17;5;3;2;OUI;OUI;2021-10-20T13:44:34+02:00;48.7938726966,2.32114881277;Cachan;
42010;Mairie d'Ivry-sur-Seine;OUI;53;12;38;38;0;OUI;OUI;2021-10-20T13:46:15+02:00;48.8105712097,2.38428264856;Ivry-sur-Seine;
21110;Parc Roger Salengro;OUI;35;26;6;3;3;OUI;OUI;2021-10-20T13:46:26+02:00;48.9053038586,2.31055945158;Clichy;
46001;Place Paul Eluard;OUI;19;3;14;14;0;OUI;OUI;2021-10-20T13:46:23+02:00;48.7672039733,2.41449773312;Choisy-le-Roi;
11042;Grand Prieurï¿½ï¿½ - Cru;OUI;49;44;3;3;0;OUI;OUI;2021-10-20T13:45:50+02:00;48.8646606279,2.36922655318;Paris;
22006;Pierret - Madrid;OUI;28;4;23;16;7;OUI;OUI;2021-10-20T13:44:31+02:00;48.8829765769,2.26012576725;Neuilly-sur-Seine;
19016;Hautpoul - Jean Jaurï¿½;OUI;33;29;4;2;2;OUI;OUI;2021-10-20T13:41:03+02:00;48.8863936794,2.38654145444;Paris;
19029;Seine - Flandre;OUI;19;15;4;3;1;OUI;OUI;2021-10-20T13:38:11+02:00;48.8867857415,2.37461932003;Paris;
9005;Square d'Anvers;OUI;34;32;0;0;0;OUI;OUI;2021-10-20T13:43:13+02:00;48.8826334843,2.34488440621;Paris;
32003;Wilson - Mï¿½ï¿½tallu;OUI;28;14;12;10;2;OUI;OUI;2021-10-20T13:45:48+02:00;48.9094230101,2.35844358802;Saint-Denis;
7102;Mairie du 7ï¿½ï;OUI;27;11;16;15;1;OUI;OUI;2021-10-20T13:45:28+02:00;48.8577967,2.3192664;Paris;
21104;Madame de Sanzillon - Mozart;OUI;22;2;17;16;1;OUI;OUI;2021-10-20T13:42:31+02:00;48.9037982077,2.31874018908;Clichy;
